sents,docs,y
"SBC plans post-takeover job cuts

US phone company SBC Communications said it expects to cut around 12,800 jobs following its $16bn (Â£8.5bn) takeover of former parent AT&T.

SBC said 5,125 positions would go as a result of network efficiencies.","SBC plans post-takeover job cuts

US phone company SBC Communications said it expects to cut around 12,800 jobs following its $16bn (Â£8.5bn) takeover of former parent AT&T.

SBC said 5,125 positions would go as a result of network efficiencies. Another 1,700 will go from its sales department, 3,400 from business operations and 2,600 across legal, advertising and public relations. SBC currently employs 163,000 people while AT&T employs 47,000. The takeover was announced on Monday. The deal will be financed with $15bn of shares as well as a $1bn special dividend paid to AT&T shareholders.

It effectively marks the end of AT&T, which was founded in 1875 by telephone pioneer Alexander Graham Bell and is one of the US's best-known companies. SBC and AT&T said estimated cost savings of at least $2bn from 2008 were a main driver for the merger. AT&T is a long-distance telecoms firm, while SBC is mainly focused on the local market in the western US. Both also have data network businesses. The takeover is subject to approval by AT&T's shareholders and regulators. The companies said they expected to complete the agreement during the first half of 2006.
",1
"France's Total is expected to join the ExxonMobil scheme, dubbed Qatargas-2, on Monday, taking 5 million tonnes of LNG a year.","Qatar and Shell in $6bn gas deal

Shell has signed a $6bn (Â£3.12bn) deal with the Middle Eastern sheikhdom of Qatar to supply liquid natural gas (LNG) to North America and Europe.

The UK-Dutch group will own 30% of the project, with Qatar's state oil firm owning the rest. The agreement is the latest in a string of deals reached by Qatar, which is trying to make itself a regional leader in natural gas. US oil giant ExxonMobil signed up for a $12.8bn deal earlier on Sunday. France's Total is expected to join the ExxonMobil scheme, dubbed Qatargas-2, on Monday, taking 5 million tonnes of LNG a year. ExxonMobil will be taking some 15 million tonnes each year for 25 years from the end of 2007 under the deal. Shell's agreement, under the name Qatargas-4, foresees the building of new facilities to handle 1.4 billion cubic feet of gas, and 7.8 million tonnes of LNG each year from 2011 onwards.
",1
"The ISM manufacturing index's main sister survey - the employment index - eased to 52.7 in December from 57.6 in November, while its ""prices paid"" index, measuring the cost to businesses of their inputs, also eased to 72.0 from 74.0.","US manufacturing expands

US industrial production increased in December, according to the latest survey from the Institute for Supply Management (ISM).

Its index of national manufacturing activity rose to 58.6 last month from 57.8 in November. A reading above 50 indicates a level of growth. The result for December was slightly better than analysts' expectations and the 19th consecutive expansion. The ISM said the growth was driven by a ""significant"" rise in the new orders. ""This completes a strong year for manufacturing based on the ISM data,"" said chairman of the ISM's survey committee. ""While there is continuing upward pressure on prices, the rate of increase is slowing and definitely trending in the right direction.""

The ISM's index of national manufacturing activity is compiled from monthly responses of purchasing executives at more than 400 industrial companies, ranging from textiles to chemicals to paper, and has now been above 50 since June 2003. Analysts expected December's figure to come in at 58.1. The ISM manufacturing index's main sister survey - the employment index - eased to 52.7 in December from 57.6 in November, while its ""prices paid"" index, measuring the cost to businesses of their inputs, also eased to 72.0 from 74.0. The ISM's ""new orders"" index rose to 67.4 from 61.5.
",1
"Usher's work with rappers Ludacris & Lil Jon won him nominations for best R&B-soul or rap music video and best R&B-soul or rap dance cut for the song Yeah!, while his duet with Keys, My Boo, earned the pair a nod for best R&B-soul single.","Usher leads Soul Train shortlist

Chart-topping R&B star Usher is leading the field at this year's Soul Train Awards, with five nominations.

The singer, whose album Confessions has sold close to eight million copies in the US alone, is already in the running for eight Grammy Awards. Newcomer Ciara - who recently beat Elvis Presley to the UK number one spot - has four nominations, while Alicia Keys has three. The Soul Train Awards ceremony will take place in Hollywood on 28 February.

Usher has already swept the board at the American Music Awards with four titles, including two best album awards. His Soul Train nominations include best male R&B-soul album and best male R&B-soul single for Confessions Part II. Usher's work with rappers Ludacris & Lil Jon won him nominations for best R&B-soul or rap music video and best R&B-soul or rap dance cut for the song Yeah!, while his duet with Keys, My Boo, earned the pair a nod for best R&B-soul single. Keys' album The Diary of Alicia Keys was also up for best R&B-soul album by a female. Her song If I Ain't Got You received a best single nomination in the female R&B-soul category. Newcomer Ciara's four nominations include best female R&B-soul album and best R&B-soul or rap by a new artist. Beyonce, Prince, Destiny's Child, Jill Scott and New Edition all received two nominations each. The Soul Train Music Awards, which started 18 years ago, celebrates artists in R&B, hip-hop, rap and gospel music.
",1
"Both unions are remaining tight-lipped about the merger rumours, but one insider pointed out to the BBC News website that ""nobody is denying suggestions a merger could be on the agenda"" when the two unions' executives hold their meetings on Wednesday.","'Super union' merger plan touted

Two of Britain's big trade unions could merge to form a ""super union"" of two million members.

The move by Amicus and the Transport and General Workers Union (TGWU) would be a seen as a bid to carry more weight with ministers and employers. Amicus has 1.2 million members and the TGWU has 800,000. Any merger would have to be approved by the unions' executives and their membership. It is understood meetings will be held on Wednesday about the proposal. Along with the GMB and Unison, the TGWU and Amicus worked closely together in the last year to hammer out a 56-point deal with Labour's leadership over equality at work, holidays and pensions - the Warwick Agreement. Both unions are remaining tight-lipped about the merger rumours, but one insider pointed out to the BBC News website that ""nobody is denying suggestions a merger could be on the agenda"" when the two unions' executives hold their meetings on Wednesday. Amicus's executive was due to meet in any case although the TGWU is holding specially scheduled talks.
",1
"Mr Rodgers, of the Fullness of Joy Church, said he was concerned about the rapper's lyrics that include references to drugs, sex and violence, and songs that the minister said were demeaning to women.","Church urges Nelly show boycott

Church ministers are trying to prevent rapper Nelly performing in Arkansas, saying they do not want his ""vile and filthy lyrics"" in their town.

More than 20 Jonesboro ministers urged music fans to boycott Nelly's 12 March concert at Arkansas State University in a bid to have it cancelled. ""Jonesboro is a wonderful city because of what does not come here,"" said the Reverend Adrian Rodgers. But a venue spokesman said more than 5,500 tickets had been sold so far.

Mr Rodgers, of the Fullness of Joy Church, said he was concerned about the rapper's lyrics that include references to drugs, sex and violence, and songs that the minister said were demeaning to women. Ministers were worried that bringing such acts to Jonesboro would lead to problems. ""Tear the tickets up,"" Mr Rodgers said. ""Do not go and do not allow your children to go.""

Tim Dean, director of the Arkansas State University venue, said ticket sales had been brisk. ""It would appear that with ticket sales over 5,000, many others have expressed their right to find Nelly's music entertaining and worth spending their time and money on,"" he said. Nelly has sold more than 30 million singles and albums worldwide, and in September 2004 simultaneously occupied the number one and two positions in the US albums chart. He has had 12 UK hit singles, including Hot in Herre, Dilemma and recent number one Over and Over.
",1
"Bolton v Derby or Fulham

West Bromwich Albion or Tottenham v Nottingham Forest

Everton v Manchester United

Charlton Athletic v Leicester City

Burnley v Blackburn

Southampton v Brentford or Hartlepool

Newcastle v Chelsea

Arsenal v West Ham or Sheffield United

Ties to be played on 19/20 February.
","Cup holders Man Utd visit Everton

Holders Manchester United and Premiership leaders Chelsea both face difficult away ties against Premiership opposition in the FA Cup fifth round.

United were drawn against Everton, while Chelsea face a trip to Newcastle. Brentford and Hartlepool - the only sides left from outside the top two divisions - will replay for the right to travel to Southampton. Burnley's reward for a place in the last 16 was a home tie against Lancashire rivals Blackburn. The tie between Manchester United and Everton could see the return of teenage striker Wayne Rooney to his former club for the first time since his acrimonious Â£27m move.

Nottingham Forest boss Gary Megson could face a trip back to old club West Brom if they come through their fourth-round replay against Tottenham. Arsenal were handed a potential home tie against fellow Londoners West Ham, providing the Hammers come through their replay against Sheffield United. Charlton will play Leicester and Bolton await the winners of the Derby-Fulham replay.

: Bolton v Derby or Fulham

West Bromwich Albion or Tottenham v Nottingham Forest

Everton v Manchester United

Charlton Athletic v Leicester City

Burnley v Blackburn

Southampton v Brentford or Hartlepool

Newcastle v Chelsea

Arsenal v West Ham or Sheffield United

Ties to be played on 19/20 February.
",1
"Established in 1981, the Jesse Owens Awards - named in honour of the late Olympic great who won four gold medals at the 1936 Berlin Games - are presented annually to the outstanding US male and female track and field performers.","Gatlin and Hayes win Owen awards

American Olympic stars Justin Gatlin and Joanna Hayes have been named the winners of the 2004 Jesse Owens Awards, USA Track & Field's (USATF) top honour.

Gatlin, 22, won the closest 100m final in Games history with a career-best time of 9.85 seconds in Athens. He also won bronze in the 200m and silver in the 4x100m relay, becoming the only male athlete to win three athletics medals this summer. Hayes, 27, set an Olympic record of 12.37 in winning the 100m hurdles. Established in 1981, the Jesse Owens Awards - named in honour of the late Olympic great who won four gold medals at the 1936 Berlin Games - are presented annually to the outstanding US male and female track and field performers.

The 2004 awards will be presented on 3 December in conjunction with the USATF annual meeting in Portland. ""It is such a great honour to win the Jesse Owens Award,"" said Gatlin. ""It is one of the biggest honours in track and field and it is a great end to a great year. "" Hayes said: ""Knowing some of the great people who have won this award before me and knowing what it represents, I feel a sense accomplishment and pride which lets me know that everything that I have worked for is and always will be worth it.""
",1
"""If I didn't think I could win I would not be here,"" said Gebrselassie, who has set world records on 18 occasions in his illustrious career and is keen to add the marathon record to his collection.","Gebrselassie in London triple bid

Double Olympic 10,000m champion Haile Gebrselassie will race in the London Marathon for the next three years.

The Ethiopian legend won Sunday's Almeria half-marathon in Spain on his return from an operation on his Achilles tendon. He was third in London in 2002 in his first serious attempt at the marathon. ""It is a coup for us to secure Haile's presence for the next three years and it guarantees a quality race,"" said race director David Bedford. Gebrselassie will face Olympic champion Stefano Baldini, world champion Jaouad Gharib, and arch-rival Paul Tergat, the current world record holder. ""If I didn't think I could win I would not be here,"" said Gebrselassie, who has set world records on 18 occasions in his illustrious career and is keen to add the marathon record to his collection. ""There are a lot of fantastic runners in the race but I shall be doing my utmost to upset them.""
",1
"Tournament director Craig Watson said: ""I had a message relayed to me from him after Spain's Davis Cup victory, saying he was looking forward to trying to make up for his disappointment in the (2004) final.","Sydney return for Henin-Hardenne

Olympic champion Justine Henin-Hardenne will return to action in January's Sydney International tournament.

The Belgian has not competed since losing her top world ranking at the US Open in September, where she was beaten in the fourth round by Nadia Petrova. She took time out to shake off a virus but will defend her titles in Sydney and at the Australian Open. Women's world number one Lindsay Davenport and French Open champion Anastasia Myskina will also compete.

In the men's event, world number three Lleyton Hewitt returns to defend his title, along with runner-up Carlos Moya. Moya, Spain's Davis Cup final hero in their recent win over the US, had to retire with an ankle injury in the first set of the final.

Tournament director Craig Watson said: ""I had a message relayed to me from him after Spain's Davis Cup victory, saying he was looking forward to trying to make up for his disappointment in the (2004) final. The tournament will take place from 9-15 January.
",1
"Glynn Tromans - the reigning UK Inter-Countries and England Cross-Country champion - came in third place as he continues his comeback from a five-month injury lay-off.
","Yelling takes Cardiff hat-trick

European cross-country champion Hayley Yelling completed a hat-trick of wins in the Reebok Cardiff Cross Challenge in Bute Park on Sunday afternoon.

The part-time maths teacher beat Irish international Jolene Byrne by 40 metres in the six-kilometre race. Another Great Britain international, Louise Damen, finished third as part of the contingent representing England. Peter Riley, who secured bronze for the GB men's team at last month's European Championships, won the men's 9km race. Riley, representing England, moved away over the last two kilometres to win by 25 metres from Ireland's Gary Murray. Glynn Tromans - the reigning UK Inter-Countries and England Cross-Country champion - came in third place as he continues his comeback from a five-month injury lay-off.
",1
"C Latham (Australia); R Caucaunibuca (Fiji), J Fourie (S Africa) T Umaga (New Zealand), S Bobo (Fiji); A Mehrtens (New Zealand) G Gregan (Australia, capt); T Kefu (Australia), P Waugh (Australia), S Burger (S Africa); I Rawaqa (Fiji), V Matfield (S Africa); K Visagie (S Africa), J Smit (S Africa), C Hoeft (New Zealand).","Captains lining up for Aid match

Ireland's Brian O'Driscoll is one of four Six Nations captains included in the Northern Hemisphere squad for the IRB Rugby Aid match on 5 March.

France's Fabien Pelous, Gordon Bullock of Scotland and Italy's Marco Bortolami are also in the Northern party. Sir Clive Woodward will coach the Northern team against Rod Macqueen's Southern Hemisphere team in a tsumani fund-raising match at Twickenham. ""I'm looking forward to working with such outstanding players,"" he said. It will be a chance for Woodward to assess some of his options before unveiling his British and Irish Lions touring party, who will visit New Zealand in the summer. ""The game promises to be a great spectacle,"" he said. ""Both teams are fielding top-quality sides and I really hope that the rugby public and community get behind this game to raise as much money as possible for such a deserving cause.""

L Dallaglio (England), B Cohen (England), A Rougerie (France), D Traille (France), F Pelous (France), R Ibanez (France), P de Villiers (France), B O'Driscoll (Ireland, capt), P O'Connell (Ireland), D Humphreys (Ireland), C Paterson (Scotland), C Cusiter (Scotland), G Bullock (Scotland), S Taylor (Scotland), A Lo Cicero (Italy), M Bortolami (Italy), S Parisse (Italy), D Peel (Wales), C Sweeney (Wales), J Thomas (Wales), R Williams (Wales), J Yapp (Wales).

C Latham (Australia); R Caucaunibuca (Fiji), J Fourie (S Africa) T Umaga (New Zealand), S Bobo (Fiji); A Mehrtens (New Zealand) G Gregan (Australia, capt); T Kefu (Australia), P Waugh (Australia), S Burger (S Africa); I Rawaqa (Fiji), V Matfield (S Africa); K Visagie (S Africa), J Smit (S Africa), C Hoeft (New Zealand). Reserves: B Reihana (New Zealand), B Lima (Samoa), E Taukafa (Tonga), O Palepoi (Samoa), S Sititi (Samoa), M Rauluni (Fiji), A N Other.
",1
"Kel Coslett, who famously moved from Wales to league in the 1960s, is currently Saints' football manager, while Clive Griffiths - Wales' defensive coach - is a former St Helens player and is thought to be the man behind the latest initiative.","Wales want rugby league training

Wales could follow England's lead by training with a rugby league club.

England have already had a three-day session with Leeds Rhinos, and Wales are thought to be interested in a similar clinic with rivals St Helens. Saints coach Ian Millward has given his approval, but if it does happen it is unlikely to be this season. Saints have a week's training in Portugal next week, while Wales will play England in the opening Six Nations match on 5 February. ""We have had an approach from Wales,"" confirmed a Saints spokesman. ""It's in the very early stages but it is something we are giving serious consideration to."" St Helens, who are proud of their Welsh connections, are obvious partners for the Welsh Rugby Union, despite a spat in 2001 over the collapse of Kieron Cunningham's proposed Â£500,000 move to union side Swansea. A similar cross-code deal that took Iestyn Harris from Leeds to Cardiff in 2001 did go through, before the talented stand-off returned to the 13-man code with Bradford Bulls. Kel Coslett, who famously moved from Wales to league in the 1960s, is currently Saints' football manager, while Clive Griffiths - Wales' defensive coach - is a former St Helens player and is thought to be the man behind the latest initiative. Scott Gibbs, the former Wales and Lions centre, played for St Helens from 1994-96 and was in the Challenge Cup-winning team at Wembley in 1996.
",1
Her rise means Australia have a player in the top 10 of the men's and women's rankings for the first time in 21 years.,"Serena becomes world number two

Serena Williams has moved up five places to second in the world rankings after her Australian Open win.

Williams won her first Grand Slam title since 2003 with victory over Lindsay Davenport, the world number one. Men's champion Marat Safin remains fourth in the ATP rankings while beaten finalist Lleyton Hewitt replaces Andy Roddick as world number two. Roger Federer retains top spot, but Safin has overtaken Hewitt to become the new leader of the Champions Race. Alicia Molik, who lost a three-set thriller against Davenport in the quarter-finals, is in the women's top 10 for the first time in her career. Her rise means Australia have a player in the top 10 of the men's and women's rankings for the first time in 21 years. And Britain's Elena Baltacha, who qualified and then reached the third round, has risen to 120 in the world - a leap of 65 places and her highest ranking yet.
",1
"Lord Sainsbury added: ""I am pleased to be able to make this contribution to the general election funds of the Labour Party because I believe that they are the only party that has the vision to deliver both economic prosperity and better public services for Britain.""","Sainsbury's Labour election gift

Science Minister Lord Sainsbury has made a Â£2m donation to the Labour Party for its General Election fund.

It is the latest hefty donation to the party by the billionaire - he has contributed more than Â£10m since 1999. David Sainsbury said he was pleased to give cash to a party that had the ""vision"" to deliver economic prosperity and better public services for Britain. General Secretary Matt Carter said it was ""a fantastic gift"" that would help Labour ""fight and win the election"".

""Through the generosity of David Sainsbury and other Labour supporters, Labour will be campaigning hard to take Britain forward and to stop the Tories taking us back,"" Mr Carter said. Lord Sainsbury added: ""I am pleased to be able to make this contribution to the general election funds of the Labour Party because I believe that they are the only party that has the vision to deliver both economic prosperity and better public services for Britain."" The 64-year-old latest donation follows a Â£2.5m gift to the party in 2003. Lord Sainsbury was created a life peer in 1997, a year before he was appointed as minister for science.
",1
"Nadal, playing in the outdoor clay event for the first time, hit some powerful forehands to oust Starace in a match delayed over an hour by rain.","Almagro continues Spanish surge

Unseeded Nicolas Almagro became the fifth Spaniard to reach the last eight at the Buenos Aires Open, ousting eighth seed Mariano Zabaleta.

He showed admirable resolve to win a rain-affected match 6-7 6-4 6-4. Compatriot and seventh seed Rafael Nadal also reached the last eight, beating Italian Potito Starace 6-1 6-3. Nadal, playing in the outdoor clay event for the first time, hit some powerful forehands to oust Starace in a match delayed over an hour by rain. ""It's always a problem to have to stop for rain but one gets used to it,"" said Spanish teenager Nadal. ""Luckily, I was able to keep my pace going throughout the match."" He will now play Gaston Gaudio, who beat unseeded Brazilian Flavio Saretta 6-3 6-2 in the day's late match.
",1
"""Such a transformation would eliminate the public-company transparency into the company's operating strategy that is uniquely damaging in a highly competitive industry where Circuit City is going head-to-head with a tough and entrenched rival,"" Highfield said.","Circuit City gets takeover offer

Circuit City Stores, the second-largest electronics retailer in the US, has received a $3.25bn (Â£1.7bn) takeover offer.

The bid has come from Boston-based private investment firm Highfields Capital Management, which already owns 6.7% of Circuit City's shares. Shares in the retailer were up 19.6% at $17.04 in Tuesday morning trading in New York following the announcement. Highfield said that it intends to take the Virginia-based firm private.

""Such a transformation would eliminate the public-company transparency into the company's operating strategy that is uniquely damaging in a highly competitive industry where Circuit City is going head-to-head with a tough and entrenched rival,"" Highfield said. One analyst suggested that a bidding battle may now begin for the company. Bill Armstrong, a retail analyst at CL King & Associates, said he expected to see other private investment firms come forward for Circuit City. The retailer is debt free with a good cash flow, despite the fact that it is said to be struggling to keep up with market leader Best Buy and cut-price competition from the likes of Wal-Mart, said Mr Armstrong.
",1
"The key new technologies applied in the world's fastest elevators include:


 - A pressure control system, which adjusts the atmospheric pressure inside a car by using suction and discharge blowers, preventing ""ear popping"" 
 - An active control system which tries to balance the lift more finely and remove the sources of vibrations 
 - Streamlined cars to reduce the whistling noise produced by running the lifts at a high speed inside a narrow shaft 
 

""The certification of our elevators as world record-holders by the authoritative Guinness World Records is a great honour for us,"" said Masayuki Shimono, president of manufacturer Toshiba Elevator and Building Systems which installed the lifts.","Fast lifts rise into record books

Two high-speed lifts at the world's tallest building have been officially recognised as the planet's fastest.

The lifts take only 30 seconds to whisk passengers to the top of the 508m tall TFC 101 Tower in Taipei, Taiwan. The Guinness Book of Records has declared the 17m per second speed of the two lifts the swiftest on Earth. The lifts also have a pressure control system to stop passengers' ears popping as they ascend and descend at high speed.

In total, the TFC Tower has 61 lifts, 34 of them double-deckers, and 50 escalators to shuttle people around its 106 floors. The TFC 101 Tower is due to be officially opened on 31 December.

The super-fast lifts can speed up to 24 passengers to the tip of the tower in about 30 seconds, while ascending their 382m track. The 17m/s top speed of the lifts translates to about 38mph (61km/h). Curiously the lifts take longer to descend and spend almost a whole minute returning to ground level from the top of the TFC Tower. The key new technologies applied in the world's fastest elevators include:


 - A pressure control system, which adjusts the atmospheric pressure inside a car by using suction and discharge blowers, preventing ""ear popping"" 
 - An active control system which tries to balance the lift more finely and remove the sources of vibrations 
 - Streamlined cars to reduce the whistling noise produced by running the lifts at a high speed inside a narrow shaft 
 

""The certification of our elevators as world record-holders by the authoritative Guinness World Records is a great honour for us,"" said Masayuki Shimono, president of manufacturer Toshiba Elevator and Building Systems which installed the lifts. The first record for the world's fastest passenger elevators was published in the first edition of the Guinness Book of Records in 1955. ""As such, it is an interesting indicator of how technology has advanced in the 50 years since that first edition, when the record was 426m per minute, or 25.6 km/h, less than half the speed of the new record,"" said Hein Le Roux, specialist researcher at the Guinness World Records. Taipei's TFC 101 Tower is more than 50m taller than the Petronas Towers in Kuala Lumpur, Malaysia - formerly the world's tallest skyscraper.
",1
"But he said: ""All I can tell you is that the chairman has worked really hard in the last couple of months to try to do deals.","Newcastle line up Babayaro

Newcastle manager Graeme Souness is closing in on signing Chelsea defender Celestine Babayaro when the transfer window reopens.

Souness is bidding to bolster his defence and, according to reports, contract negotiations are at an advanced stage with the player. Babayaro has been in the Premiership since 1997 when he moved to Chelsea for Â£2.25m from Anderlecht. But the 26-year-old has been surplus to requirements this season. Souness would not be drawn on specifics over individual players.

But he said: ""All I can tell you is that the chairman has worked really hard in the last couple of months to try to do deals. ""We have said from day one we want to strengthen, and that is what we are hoping to do in the coming weeks.""
",1
"Blunkett hints at election call

Ex-Home Secretary David Blunkett has given fresh clues that the general election will be announced on Monday.

","Blunkett hints at election call

Ex-Home Secretary David Blunkett has given fresh clues that the general election will be announced on Monday.

He told BBC Radio Five Live: ""I'm out in my constituency getting ready for what we presume will be an announcement very shortly at the weekend."" He clarified that he meant he would be in his Sheffield seat this weekend, not that he expected an election call then. Tony Blair is tipped to ask the Queen on Monday to dissolve Parliament ready for a 5 May poll.
",1
"He clarified that he meant he would be in his Sheffield seat this weekend, not that he expected an election call then.","Blunkett hints at election call

Ex-Home Secretary David Blunkett has given fresh clues that the general election will be announced on Monday.

He told BBC Radio Five Live: ""I'm out in my constituency getting ready for what we presume will be an announcement very shortly at the weekend."" He clarified that he meant he would be in his Sheffield seat this weekend, not that he expected an election call then. Tony Blair is tipped to ask the Queen on Monday to dissolve Parliament ready for a 5 May poll.
",1
